"filename", "language", "JSON", "JavaScript", "Properties", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\.env", "Properties", 0, 0, 3, 0, 0, 3
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\auth.js", "JavaScript", 0, 83, 0, 0, 10, 93
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\customer.js", "JavaScript", 0, 265, 0, 28, 84, 377
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\store.js", "JavaScript", 0, 231, 0, 0, 67, 298
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\user.js", "JavaScript", 0, 20, 0, 0, 6, 26
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\addToCart.js", "JavaScript", 0, 6, 0, 0, 4, 10
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\product.js", "JavaScript", 0, 15, 0, 0, 4, 19
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\review.js", "JavaScript", 0, 10, 0, 0, 4, 14
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\sale.js", "JavaScript", 0, 14, 0, 0, 4, 18
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\store.js", "JavaScript", 0, 12, 0, 0, 4, 16
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\user.js", "JavaScript", 0, 25, 0, 0, 4, 29
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\auth.js", "JavaScript", 0, 7, 0, 0, 6, 13
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\customer.js", "JavaScript", 0, 39, 0, 0, 4, 43
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\store.js", "JavaScript", 0, 41, 0, 1, 19, 61
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\user.js", "JavaScript", 0, 5, 0, 1, 5, 11
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\index.js", "JavaScript", 0, 34, 0, 0, 5, 39
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\package-lock.json", "JSON", 6030, 0, 0, 0, 1, 6031
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\package.json", "JSON", 24, 0, 0, 0, 1, 25
"Total", "-", 6054, 807, 3, 30, 232, 7126
