"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\socket.js", "JavaScript", 0, 3, 0, 3, 6
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\App.js", "JavaScript", 0, 30, 1, 3, 34
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\app\features\User\inboxMessages.js", "JavaScript", 0, 4, 0, 0, 4
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\app\features\socket.js", "JavaScript", 0, 15, 0, 4, 19
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\app\features\triggeri.js", "JavaScript", 0, 17, 0, 0, 17
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\app\store.js", "JavaScript", 0, 2, 0, 0, 2
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\AddProductModal.js", "JavaScript", 0, 73, 0, 4, 77
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\Homepage.js", "JavaScript", 0, 36, 0, 1, 37
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\Post.js", "JavaScript", 0, 90, 0, 3, 93
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\PostModal.js", "JavaScript", 0, 27, 0, 3, 30
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\VideoPlayerModal.js", "JavaScript", 0, 32, 0, 3, 35
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\VideoUploadModal.js", "JavaScript", 0, 105, 1, 5, 111
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\YourFeed.js", "JavaScript", 0, 237, 0, 10, 247
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Navbar\Navbar.js", "JavaScript", 0, 12, 0, 0, 12
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Search\Search.js", "JavaScript", 0, 39, 0, 1, 40
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\Profile.js", "JavaScript", 0, 1, 0, -1, 0
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreYourProducts\YourProducts.js", "JavaScript", 0, 7, 0, 0, 7
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Inbox\Chat.js", "JavaScript", 0, 39, 0, 2, 41
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Inbox\Inbox.js", "JavaScript", 0, 32, 5, 4, 41
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Store\Store.js", "JavaScript", 0, 28, 0, 0, 28
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Store\StoreFeed.js", "JavaScript", 0, 5, 0, 3, 8
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\index.css", "CSS", 13, 0, 0, 3, 16
"Total", "-", 13, 834, 7, 51, 905
