"filename", "language", "JavaScript", "CSS", "XML", "JSON", "Markdown", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\.env", "Properties", 0, 0, 0, 0, 0, 0, -3, 0, 0, -3
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\auth.js", "JavaScript", -65, 0, 0, 0, 0, 0, 0, 0, -10, -75
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\customer.js", "JavaScript", -536, 0, 0, 0, 0, 0, 0, -99, -133, -768
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\store.js", "JavaScript", -514, 0, 0, 0, 0, 0, 0, -33, -138, -685
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\user.js", "JavaScript", -90, 0, 0, 0, 0, 0, 0, -39, -29, -158
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\addToCart.js", "JavaScript", -6, 0, 0, 0, 0, 0, 0, 0, -4, -10
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\chat.js", "JavaScript", -7, 0, 0, 0, 0, 0, 0, 0, -4, -11
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\collection.js", "JavaScript", -9, 0, 0, 0, 0, 0, 0, 0, -4, -13
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\post.js", "JavaScript", -20, 0, 0, 0, 0, 0, 0, 0, -5, -25
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\product.js", "JavaScript", -19, 0, 0, 0, 0, 0, 0, 0, -5, -24
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\review.js", "JavaScript", -10, 0, 0, 0, 0, 0, 0, 0, -4, -14
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\sale.js", "JavaScript", -14, 0, 0, 0, 0, 0, 0, 0, -4, -18
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\store.js", "JavaScript", -15, 0, 0, 0, 0, 0, 0, 0, -4, -19
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\user.js", "JavaScript", -31, 0, 0, 0, 0, 0, 0, 0, -4, -35
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\auth.js", "JavaScript", -7, 0, 0, 0, 0, 0, 0, 0, -6, -13
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\customer.js", "JavaScript", -67, 0, 0, 0, 0, 0, 0, 0, -4, -71
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\store.js", "JavaScript", -70, 0, 0, 0, 0, 0, 0, -2, -28, -100
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\user.js", "JavaScript", -15, 0, 0, 0, 0, 0, 0, -1, -9, -25
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\index.js", "JavaScript", -58, 0, 0, 0, 0, 0, 0, -1, -10, -69
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\package-lock.json", "JSON", 0, 0, 0, -7053, 0, 0, 0, 0, -1, -7054
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\package.json", "JSON", 0, 0, 0, -28, 0, 0, 0, 0, -1, -29
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\package-lock.json", "JSON", 0, 0, 0, 31210, 0, 0, 0, 0, 1, 31211
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\package.json", "JSON", 0, 0, 0, 62, 0, 0, 0, 0, 1, 63
